"Date caught","Catcher","Type","Weight","Reaction Time (ms)","Last updated: Thu Jan 09 23:57:21 PST 2014"
2013-12-14 21:31:25,SUSAltd,despicable lungfish,14.6283,0
2013-12-16 16:20:59,SUSAltd,happy piranha,14.5798,0
2013-12-14 23:59:18,jeffmeng,European poolfish,14.5623,0
2013-12-21 15:02:04,tetranoir,gregarious Santafish,14.5054,0
2013-12-14 13:57:01,jeffmeng,frozen carpsucker,14.4862,0
2013-12-21 17:04:13,jeffmeng,snowy iciclefish,14.4011,0
2014-01-08 01:53:04,SUSAltd,unique angler,14.3851,1389174784776
2013-12-19 02:05:08,SUSAltd,beached angelfish,14.3308,0
2013-12-20 17:47:20,satrix,gift-giving ornamentfish,14.3147,0
2014-01-07 21:18:15,caretcaret,rainbow snailfish,14.3128,1389158295487
2013-12-17 19:57:55,jeffmeng,naughty elephantnose fish,14.2638,0
2013-12-17 16:24:02,SUSAltd,snowy thornfish,14.2395,0
2013-12-20 16:19:43,tetranoir,wintry snowmanfish,14.116,0
2013-12-18 21:46:53,SUSAltd,happy blackfish,14.0858,0
2013-12-17 21:39:23,tmodi,frosty quillfish,13.9783,0
2014-01-02 15:42:39,SUSAltd,radiant flounder,13.9453,0
2013-12-18 20:48:23,tetranoir,wintry butterflyfish,13.9299,0
2013-12-19 17:53:33,Zorael,merry squirrelfish,13.9072,0
2014-01-03 22:17:36,SUSAltd,poisonous pineapplefish,13.8555,0
2013-12-19 17:31:23,SUSAltd,chilly sleighfish,13.811,0
2013-12-14 02:28:36,SUSAltd,radiant squaretail,13.8093,0
2013-12-29 02:07:59,tetranoir,radiant jawfish,13.7277,0
2014-01-07 23:13:41,SBot,electronic shark,13.6141,1389165221176
2013-12-17 20:30:27,satrix,steamed tinselfish,13.6131,0
2013-12-14 23:32:06,SUSAltd,dead lionfish,13.6031,0
2014-01-04 00:25:45,SUSAltd,lazy coelacanth,13.5662,0
2013-12-19 17:38:36,satrix,keen presentfish,13.5078,0
2013-12-17 19:46:14,jeffmeng,bigeye tejfish,13.4738,0
2013-12-21 20:02:57,tetranoir,wintry elffish,13.4295,0
2013-12-19 22:54:37,SUSAltd,nippy kelpfish,13.4258,0
2013-12-15 14:41:20,SirSUSA,Arctic telescopefish,13.3807,0
2013-12-19 19:56:32,jeffmeng,icy tinselfish,13.3533,0
2014-01-07 22:55:49,SUSAltd,blanched flagfin,13.3245,1389164149758
2013-12-19 00:39:32,jeffmeng,wintry whalefish,13.2644,0
2013-12-19 20:58:34,SUSAltd,naughty swordfish,13.2318,0
2013-12-14 20:35:12,SUSAltd,amazing archerfish,13.0927,0
2014-01-07 23:18:25,SUSAltd,chocolate-covered halibut,13.0734,1389165505202
2014-01-08 00:40:49,SUSAltd,oppressed halibut,12.8914,1389170449135
2013-12-18 23:07:51,j39m,frozen tinselfish,12.8897,0
2013-12-15 00:12:59,SUSAltd,leopard-spotted treefish,12.8851,0
2013-12-17 15:58:02,SUSAltd,frosty elffish,12.8408,0
2014-01-03 23:45:12,legoktm,lovely shamanfish,12.7915,0
2013-12-16 18:23:45,jeffmeng,oxidized cavefish,12.7338,0
2014-01-06 18:33:58,SUSAltd,gregarious leaffish,12.6842,1165
2013-12-15 01:10:26,jeffmeng,slippery perch,12.6478,0
2013-12-15 02:18:50,SUSAltd,magical nibblefish,12.6197,0
2014-01-06 23:12:47,SUSAltd,unanimous manefish,12.5724,3633
2013-12-14 23:15:32,SUSAltd,unanimous icefish,12.5295,0
2013-12-17 19:34:57,SUSAltd,snowy legofish,12.5279,0
2013-12-17 22:41:47,tmodi,nippy ornamentfish,12.5149,0
2013-12-15 18:01:55,SUSAltd,Asian platyfish,12.5135,0
2013-12-14 02:25:45,j39m,slippery glassfish,12.5101,0
2013-12-16 18:50:57,tetranoir,snowy presentfish,12.4916,0
2013-12-18 20:01:56,satrix,resplendent reindeerfish,12.4652,0
2013-12-14 14:03:17,jeffmeng,despicable kelpfish,12.4337,0
2013-12-19 22:06:56,jeffmeng,frosty carp,12.4169,0
2014-01-02 16:15:58,tetranoir,armoured salmon,12.4105,0
2013-12-14 13:55:32,SUSAltd,glass stingray,12.4086,0
2014-01-07 23:07:26,caretcaret,dangerous unicornfish,12.2653,1389164846118
2014-01-01 18:34:35,jeffmeng,radioactive x-ray fish,12.2248,0
2013-12-18 19:24:07,tetranoir,insidious leaffish,12.2118,0
2013-12-19 20:11:30,jeffmeng,robotic needlefish,12.1689,0
2014-01-04 00:53:22,SUSAltd,lovely man-of-war fish,12.1435,0
2013-12-15 00:29:42,SUSAltd,poisonous poolfish,12.111,0
